=== WAVE-BASED DIVERGENCE EXPERIMENT RESULTS ===
Timestamp: Sat Jan 31 18:05:01 CET 2026

--- Configuration ---
Replica 1: localhost:8182
Replica 2: localhost:8183
Vertices: 300
Number of waves: 100
Updates per wave (per replica): 100
Conflict rate: 100.0%
Update delay: 1ms
Reconciliation wait: 5000ms

--- Time Series Results ---
Wave   Divergence   Same   Different  Missing  Duration     AvgLatency R1    AvgLatency R2   
87     0.00       % 100    0          0        418 ms       2.93 ms          2.95 ms         
88     0.00       % 100    0          0        407 ms       2.78 ms          2.72 ms         
89     0.00       % 100    0          0        469 ms       3.39 ms          3.24 ms         
90     0.00       % 100    0          0        1435 ms      2.92 ms          13.07 ms        
91     1.00       % 99     1          0        393 ms       2.65 ms          2.64 ms         
92     0.00       % 100    0          0        466 ms       3.35 ms          3.01 ms         
93     0.00       % 100    0          0        441 ms       3.10 ms          3.02 ms         
94     0.00       % 100    0          0        463 ms       3.31 ms          3.31 ms         
95     0.00       % 100    0          0        1565 ms      14.35 ms         2.53 ms         
96     0.00       % 100    0          0        426 ms       2.98 ms          2.77 ms         
97     0.00       % 100    0          0        461 ms       3.02 ms          3.29 ms         
98     0.00       % 100    0          0        486 ms       3.29 ms          3.60 ms         
99     0.00       % 100    0          0        1332 ms      3.02 ms          12.09 ms        
100    0.00       % 100    0          0        432 ms       2.96 ms          3.03 ms         

--- Summary Statistics ---
Average divergence: 0.08%
Maximum divergence: 2.00%
Minimum divergence: 0.00%
Trend: 0.00% per wave
