=== WAVE-BASED DIVERGENCE EXPERIMENT RESULTS ===
Timestamp: Mon Feb 02 00:55:36 CET 2026

--- Configuration ---
Replica 1: localhost:8182
Replica 2: localhost:8183
Vertices: 300
Number of waves: 100
Updates per wave (per replica): 100
Conflict rate: 100.0%
Update delay: 2ms
Reconciliation wait: 3000ms

--- Time Series Results ---
Wave   Divergence   Same   Different  Missing  Duration     AvgLatency R1    AvgLatency R2   
85     27.00      % 73     27         0        2555 ms      22.93 ms         15.32 ms        
86     35.00      % 65     35         0        2614 ms      23.31 ms         14.71 ms        
87     30.00      % 70     30         0        2527 ms      22.71 ms         14.09 ms        
88     42.00      % 58     42         0        2541 ms      22.84 ms         14.10 ms        
89     33.00      % 67     33         0        2552 ms      22.98 ms         14.31 ms        
90     36.00      % 64     36         0        2640 ms      23.79 ms         14.21 ms        
91     34.00      % 66     34         0        2573 ms      23.00 ms         14.03 ms        
92     36.00      % 64     36         0        2583 ms      23.06 ms         14.92 ms        
93     34.00      % 66     34         0        2590 ms      23.25 ms         14.33 ms        
94     35.00      % 65     35         0        2532 ms      22.76 ms         14.18 ms        
95     33.00      % 67     33         0        2551 ms      22.93 ms         14.04 ms        
96     36.00      % 64     36         0        2533 ms      22.77 ms         13.88 ms        
97     39.00      % 61     39         0        2543 ms      22.85 ms         14.17 ms        
98     32.00      % 68     32         0        2671 ms      23.93 ms         15.95 ms        
99     33.00      % 67     33         0        2574 ms      23.11 ms         14.62 ms        
100    37.00      % 63     37         0        2617 ms      23.35 ms         14.21 ms        

--- Summary Statistics ---
Average divergence: 33.23%
Maximum divergence: 44.00%
Minimum divergence: 23.00%
Trend: 0.01% per wave
