wave,sample_size,same,different,missing,divergence_rate,duration_ms,avg_latency_r1_ms,avg_latency_r2_ms
1,100,100,0,0,0.00,2477,23.48,15.38
2,100,84,16,0,16.00,2146,20.12,14.97
3,100,77,23,0,23.00,1577,14.43,12.81
4,100,66,34,0,34.00,1511,13.72,11.11
5,100,61,39,0,39.00,1702,15.57,10.89
6,100,49,51,0,51.00,1536,14.04,10.19
7,100,52,48,0,48.00,1122,9.86,8.48
8,100,51,49,0,49.00,1384,12.49,8.03
9,100,51,49,0,49.00,1199,10.33,10.67
10,100,58,42,0,42.00,1563,14.27,7.20
11,100,45,55,0,55.00,1419,12.90,9.47
12,100,45,55,0,55.00,1584,14.54,8.72
13,100,51,49,0,49.00,1576,14.44,8.19
14,100,40,60,0,60.00,1121,9.91,8.95
15,100,39,61,0,61.00,1289,11.55,10.31
16,100,57,43,0,43.00,1499,13.64,11.31
17,100,51,49,0,49.00,1616,14.79,7.96
18,100,40,60,0,60.00,1716,15.87,10.19
19,100,54,46,0,46.00,1391,12.59,10.90
20,100,49,51,0,51.00,1239,11.03,9.05
21,100,56,44,0,44.00,1541,14.13,8.56
22,100,54,46,0,46.00,1430,12.95,8.38
23,100,51,49,0,49.00,1190,10.54,10.46
24,100,46,54,0,54.00,1442,13.10,11.67
25,100,43,57,0,57.00,1467,13.37,7.69
26,100,53,47,0,47.00,1922,17.80,11.24
27,100,52,48,0,48.00,1403,12.67,11.33
28,100,50,50,0,50.00,1593,14.68,10.02
29,100,47,53,0,53.00,1244,9.59,11.14
30,100,41,59,0,59.00,1466,13.33,9.47
31,100,54,46,0,46.00,1411,12.71,6.44
32,100,44,56,0,56.00,1340,12.07,11.64
33,100,44,56,0,56.00,1421,12.97,9.92
34,100,49,51,0,51.00,1615,14.86,7.54
35,100,51,49,0,49.00,1238,11.00,10.19
36,100,43,57,0,57.00,1421,12.90,9.05
37,100,45,55,0,55.00,1449,13.17,8.39
38,100,48,52,0,52.00,1386,12.44,10.46
39,100,43,57,0,57.00,1584,14.50,7.09
40,100,45,55,0,55.00,1703,15.63,10.59
41,100,58,42,0,42.00,1513,13.78,9.05
42,100,47,53,0,53.00,1548,14.15,8.73
43,100,50,50,0,50.00,1406,12.39,11.58
44,100,47,53,0,53.00,1514,13.50,10.14
45,100,44,56,0,56.00,1261,10.98,10.61
46,100,42,58,0,58.00,1274,11.07,10.99
47,100,51,49,0,49.00,1363,12.08,7.13
48,100,48,52,0,52.00,1453,13.06,7.38
49,100,49,51,0,51.00,1456,13.01,9.81
50,100,45,55,0,55.00,1256,11.00,10.86
51,100,44,56,0,56.00,1525,13.75,10.67
52,100,40,60,0,60.00,1237,10.78,8.76
53,100,42,58,0,58.00,1332,11.75,6.36
54,100,48,52,0,52.00,1868,17.07,10.03
55,100,52,48,0,48.00,1717,15.56,10.92
56,100,40,60,0,60.00,1496,13.48,7.61
57,100,47,53,0,53.00,1603,13.90,7.76
58,100,43,57,0,57.00,1388,12.41,9.46
59,100,42,58,0,58.00,1642,14.79,9.55
60,100,47,53,0,53.00,1448,12.83,8.00
61,100,45,55,0,55.00,1495,13.45,10.03
62,100,37,63,0,63.00,1183,10.28,6.46
63,100,45,55,0,55.00,1653,14.92,10.93
64,100,52,48,0,48.00,1531,13.69,6.18
65,100,48,52,0,52.00,1335,11.71,9.10
66,100,44,56,0,56.00,1294,11.56,8.73
67,100,46,54,0,54.00,1778,16.44,8.38
68,100,43,57,0,57.00,1659,15.23,10.44
69,100,52,48,0,48.00,1722,15.92,9.57
70,100,48,52,0,52.00,1170,10.43,8.05
71,100,48,52,0,52.00,1433,13.07,11.41
72,100,42,58,0,58.00,1641,14.98,6.25
73,100,52,48,0,48.00,1556,14.21,10.83
74,100,41,59,0,59.00,1600,14.15,14.62
75,100,47,53,0,53.00,1460,13.30,11.57
76,100,43,57,0,57.00,1679,15.52,4.92
77,100,39,61,0,61.00,1274,11.46,10.01
78,100,49,51,0,51.00,1486,13.49,9.13
79,100,50,50,0,50.00,1370,12.37,9.81
80,100,47,53,0,53.00,1521,13.91,10.97
81,100,42,58,0,58.00,1458,13.24,9.90
82,100,47,53,0,53.00,1571,14.33,10.67
83,100,48,52,0,52.00,1240,11.13,9.06
84,100,48,52,0,52.00,1953,18.19,7.51
85,100,48,52,0,52.00,1563,14.15,10.27
86,100,46,54,0,54.00,1331,12.00,8.81
87,100,51,49,0,49.00,1346,11.94,9.69
88,100,48,52,0,52.00,1502,13.54,7.08
89,100,46,54,0,54.00,1642,15.02,9.74
90,100,57,43,0,43.00,1344,12.07,7.20
91,100,51,49,0,49.00,1497,13.65,11.31
92,100,42,58,0,58.00,1590,14.61,11.95
93,100,46,54,0,54.00,1221,10.82,9.72
94,100,45,55,0,55.00,1507,10.31,13.83
95,100,43,57,0,57.00,1366,12.30,10.91
96,100,52,48,0,48.00,1407,12.70,9.37
97,100,36,64,0,64.00,1268,10.49,11.31
98,100,40,60,0,60.00,1526,14.01,8.68
99,100,52,48,0,48.00,1504,13.57,11.90
100,100,46,54,0,54.00,1518,13.86,8.43
