wave,sample_size,same,different,missing,divergence_rate,duration_ms,avg_latency_r1_ms,avg_latency_r2_ms
1,50,50,0,0,0.00,8086,13.24,149.22
2,50,37,13,0,26.00,2293,8.46,33.96
3,50,36,14,0,28.00,1500,6.48,17.98
4,50,28,22,0,44.00,1741,5.88,22.74
5,50,21,29,0,58.00,1302,9.22,14.20
