wave,sample_size,same,different,missing,divergence_rate,duration_ms,avg_latency_r1_ms,avg_latency_r2_ms
1,100,70,30,0,30.00,2654,23.78,15.35
2,100,58,42,0,42.00,2549,22.76,13.94
3,100,56,44,0,44.00,2597,23.41,14.13
4,100,66,34,0,34.00,2566,23.01,14.16
5,100,70,30,0,30.00,2581,22.94,13.95
6,100,74,26,0,26.00,2536,22.80,14.06
7,100,69,31,0,31.00,2581,23.33,14.24
8,100,72,28,0,28.00,2751,25.03,16.01
9,100,66,34,0,34.00,2526,22.66,13.87
10,100,68,32,0,32.00,2544,22.87,14.39
11,100,71,29,0,29.00,2562,22.98,14.25
12,100,64,36,0,36.00,2710,24.48,16.91
13,100,66,34,0,34.00,2561,23.05,14.21
14,100,69,31,0,31.00,2592,23.18,14.21
15,100,63,37,0,37.00,2793,25.38,16.43
16,100,70,30,0,30.00,2530,22.60,14.12
17,100,69,31,0,31.00,2675,24.24,16.03
18,100,67,33,0,33.00,2550,22.79,14.13
19,100,75,25,0,25.00,2568,23.04,14.61
20,100,62,38,0,38.00,2558,22.84,14.17
21,100,71,29,0,29.00,2718,24.61,15.34
22,100,69,31,0,31.00,2553,22.73,13.95
23,100,74,26,0,26.00,2530,22.55,13.80
24,100,66,34,0,34.00,3022,27.64,18.82
25,100,68,32,0,32.00,2612,23.46,14.54
26,100,70,30,0,30.00,2549,22.93,14.04
27,100,66,34,0,34.00,2567,23.16,14.65
28,100,65,35,0,35.00,2666,24.00,14.04
29,100,63,37,0,37.00,2515,22.62,14.10
30,100,66,34,0,34.00,2569,23.10,14.43
31,100,64,36,0,36.00,2489,22.38,14.10
32,100,67,33,0,33.00,2564,22.91,13.77
33,100,56,44,0,44.00,2563,23.04,14.11
34,100,70,30,0,30.00,2541,22.75,13.90
35,100,73,27,0,27.00,2547,22.76,14.29
36,100,69,31,0,31.00,2569,23.07,14.17
37,100,57,43,0,43.00,2515,22.51,14.05
38,100,65,35,0,35.00,2559,22.99,14.09
39,100,68,32,0,32.00,3444,31.91,15.85
40,100,68,32,0,32.00,2545,22.98,14.84
41,100,68,32,0,32.00,2544,22.88,14.32
42,100,68,32,0,32.00,2595,23.21,14.41
43,100,67,33,0,33.00,2775,24.87,16.51
44,100,66,34,0,34.00,2553,22.99,14.71
45,100,66,34,0,34.00,2751,24.97,16.96
46,100,68,32,0,32.00,2606,23.63,14.97
47,100,62,38,0,38.00,2590,23.08,14.70
48,100,63,37,0,37.00,2562,22.88,14.23
49,100,77,23,0,23.00,2591,23.26,14.42
50,100,61,39,0,39.00,2543,22.79,14.27
51,100,63,37,0,37.00,2568,22.91,13.87
52,100,59,41,0,41.00,2520,22.50,14.16
53,100,62,38,0,38.00,2586,23.31,14.53
54,100,71,29,0,29.00,2762,24.98,15.57
55,100,70,30,0,30.00,2581,23.14,14.54
56,100,67,33,0,33.00,2565,22.82,14.06
57,100,69,31,0,31.00,2611,23.50,15.17
58,100,74,26,0,26.00,2563,22.77,14.25
59,100,64,36,0,36.00,2584,23.29,14.50
60,100,67,33,0,33.00,2507,22.34,14.02
61,100,62,38,0,38.00,2529,22.67,14.20
62,100,70,30,0,30.00,2542,22.77,13.97
63,100,64,36,0,36.00,2529,22.74,14.17
64,100,72,28,0,28.00,2572,23.13,14.66
65,100,69,31,0,31.00,2552,22.87,14.17
66,100,68,32,0,32.00,2529,22.79,14.24
67,100,64,36,0,36.00,2634,23.63,15.27
68,100,70,30,0,30.00,2543,22.89,14.58
69,100,72,28,0,28.00,2545,23.00,14.36
70,100,68,32,0,32.00,2577,23.26,14.34
71,100,72,28,0,28.00,2515,22.50,14.16
72,100,68,32,0,32.00,2556,23.10,14.15
73,100,75,25,0,25.00,2563,23.00,14.56
74,100,68,32,0,32.00,2547,22.93,13.99
75,100,69,31,0,31.00,2522,22.70,14.19
76,100,72,28,0,28.00,2570,23.00,14.16
77,100,56,44,0,44.00,2523,22.57,13.97
78,100,70,30,0,30.00,2548,22.93,14.25
79,100,65,35,0,35.00,2669,24.12,15.57
80,100,60,40,0,40.00,2547,22.94,14.22
81,100,64,36,0,36.00,2672,24.12,14.97
82,100,65,35,0,35.00,2567,22.87,14.41
83,100,69,31,0,31.00,2537,22.73,14.13
84,100,65,35,0,35.00,2613,23.55,15.03
85,100,73,27,0,27.00,2555,22.93,15.32
86,100,65,35,0,35.00,2614,23.31,14.71
87,100,70,30,0,30.00,2527,22.71,14.09
88,100,58,42,0,42.00,2541,22.84,14.10
89,100,67,33,0,33.00,2552,22.98,14.31
90,100,64,36,0,36.00,2640,23.79,14.21
91,100,66,34,0,34.00,2573,23.00,14.03
92,100,64,36,0,36.00,2583,23.06,14.92
93,100,66,34,0,34.00,2590,23.25,14.33
94,100,65,35,0,35.00,2532,22.76,14.18
95,100,67,33,0,33.00,2551,22.93,14.04
96,100,64,36,0,36.00,2533,22.77,13.88
97,100,61,39,0,39.00,2543,22.85,14.17
98,100,68,32,0,32.00,2671,23.93,15.95
99,100,67,33,0,33.00,2574,23.11,14.62
100,100,63,37,0,37.00,2617,23.35,14.21
