=== WAVE-BASED DIVERGENCE EXPERIMENT RESULTS ===
Timestamp: Fri Jan 30 22:36:41 CET 2026

--- Configuration ---
Replica 1: localhost:8182
Replica 2: localhost:8183
Vertices: 300
Number of waves: 100
Updates per wave (per replica): 100
Conflict rate: 100.0%
Update delay: 1ms
Reconciliation wait: 5000ms

--- Time Series Results ---
Wave   Divergence   Same   Different  Missing  Duration     AvgLatency R1    AvgLatency R2   
85     52.00      % 48     52         0        1563 ms      14.15 ms         10.27 ms        
86     54.00      % 46     54         0        1331 ms      12.00 ms         8.81 ms         
87     49.00      % 51     49         0        1346 ms      11.94 ms         9.69 ms         
88     52.00      % 48     52         0        1502 ms      13.54 ms         7.08 ms         
89     54.00      % 46     54         0        1642 ms      15.02 ms         9.74 ms         
90     43.00      % 57     43         0        1344 ms      12.07 ms         7.20 ms         
91     49.00      % 51     49         0        1497 ms      13.65 ms         11.31 ms        
92     58.00      % 42     58         0        1590 ms      14.61 ms         11.95 ms        
93     54.00      % 46     54         0        1221 ms      10.82 ms         9.72 ms         
94     55.00      % 45     55         0        1507 ms      10.31 ms         13.83 ms        
95     57.00      % 43     57         0        1366 ms      12.30 ms         10.91 ms        
96     48.00      % 52     48         0        1407 ms      12.70 ms         9.37 ms         
97     64.00      % 36     64         0        1268 ms      10.49 ms         11.31 ms        
98     60.00      % 40     60         0        1526 ms      14.01 ms         8.68 ms         
99     48.00      % 52     48         0        1504 ms      13.57 ms         11.90 ms        
100    54.00      % 46     54         0        1518 ms      13.86 ms         8.43 ms         

--- Summary Statistics ---
Average divergence: 51.43%
Maximum divergence: 64.00%
Minimum divergence: 0.00%
Trend: 0.12% per wave
